id,Last Updated,Observation Start,Observation End
BAMLEM4BRRBLCRPIEY,2015-07-31 07:22:48-05,1998-12-31,2015-07-30
BAMLEM4BRRBLCRPIOAS,2015-07-31 07:22:48-05,1998-12-31,2015-07-30
BAMLEM4BRRBLCRPISYTW,2015-07-31 07:22:49-05,1998-12-31,2015-07-30
BAMLEM4BRRBLCRPITRIV,2015-07-31 07:22:50-05,1998-12-31,2015-07-30
BAMLEM4RBLLCRPIUSEY,2015-07-31 07:22:51-05,2003-12-31,2015-07-30
BAMLEM4RBLLCRPIUSOAS,2015-07-31 07:22:51-05,2003-12-31,2015-07-30
BAMLEM4RBLLCRPIUSSYTW,2015-07-31 07:22:52-05,2003-12-31,2015-07-30
BAMLEM4RBLLCRPIUSTRIV,2015-07-31 07:22:52-05,2003-12-31,2015-07-30
BAMLEM5BCOCRPIEY,2015-07-31 07:22:53-05,1998-12-31,2015-07-30
BAMLEM5BCOCRPIOAS,2015-07-31 07:22:54-05,1998-12-31,2015-07-30
BAMLEM5BCOCRPISYTW,2015-07-31 07:22:54-05,1998-12-31,2015-07-30
BAMLEM5BCOCRPITRIV,2015-07-31 07:22:55-05,1998-12-31,2015-07-30
BAMLEMALLCRPIASIAUSEY,2015-07-31 07:22:55-05,2003-12-31,2015-07-30
BAMLEMALLCRPIASIAUSOAS,2015-07-31 07:22:56-05,2003-12-31,2015-07-30
BAMLEMALLCRPIASIAUSSYTW,2015-07-31 07:22:45-05,2003-12-31,2015-07-30
BAMLEMALLCRPIASIAUSTRIV,2015-07-31 07:22:44-05,2003-12-31,2015-07-30
BAMLEMCBPIEY,2015-07-31 07:22:44-05,1998-12-31,2015-07-30
BAMLEMCBPIOAS,2015-07-31 07:22:43-05,1998-12-31,2015-07-30
BAMLEMCBPISYTW,2015-07-31 07:22:43-05,1998-12-31,2015-07-30
BAMLEMCBPITRIV,2015-07-31 07:22:42-05,1998-12-31,2015-07-30
BAMLEMCLLCRPIUSEY,2015-07-31 07:22:42-05,2003-12-31,2015-07-30
BAMLEMCLLCRPIUSOAS,2015-07-31 07:22:41-05,2003-12-31,2015-07-30
BAMLEMCLLCRPIUSSYTW,2015-07-31 07:22:41-05,2003-12-31,2015-07-30
BAMLEMCLLCRPIUSTRIV,2015-07-31 07:22:40-05,2003-12-31,2015-07-30
BAMLEMEBCRPIEEY,2015-07-31 07:22:40-05,1998-12-31,2015-07-30
BAMLEMEBCRPIEOAS,2015-07-31 07:22:39-05,1998-12-31,2015-07-30
BAMLEMEBCRPIESYTW,2015-07-31 07:22:39-05,1998-12-31,2015-07-30
BAMLEMEBCRPIETRIV,2015-07-31 07:22:38-05,1998-12-31,2015-07-30
BAMLEMELLCRPIEMEAUSEY,2015-07-31 07:22:37-05,2003-12-31,2015-07-30
BAMLEMELLCRPIEMEAUSOAS,2015-07-31 07:22:37-05,2003-12-31,2015-07-30
BAMLEMELLCRPIEMEAUSSYTW,2015-07-31 07:22:37-05,2003-12-31,2015-07-30
BAMLEMELLCRPIEMEAUSTRIV,2015-07-31 07:22:36-05,2003-12-31,2015-07-30
BAMLEMFLFLCRPIUSEY,2015-07-31 07:22:36-05,2003-12-31,2015-07-30
BAMLEMFLFLCRPIUSOAS,2015-07-31 07:22:35-05,2003-12-31,2015-07-30
BAMLEMFLFLCRPIUSSYTW,2015-07-31 07:22:35-05,2003-12-31,2015-07-30
BAMLEMFLFLCRPIUSTRIV,2015-07-31 07:22:34-05,2003-12-31,2015-07-30
BAMLEMFSFCRPIEY,2015-07-31 07:22:34-05,1998-12-31,2015-07-30
BAMLEMFSFCRPIOAS,2015-07-31 07:22:33-05,1998-12-31,2015-07-30
BAMLEMFSFCRPISYTW,2015-07-31 07:22:33-05,1998-12-31,2015-07-30
BAMLEMFSFCRPITRIV,2015-07-31 07:22:32-05,1998-12-31,2015-07-30
BAMLEMHBHYCRPIEY,2015-07-31 07:22:31-05,1998-12-31,2015-07-30
BAMLEMHBHYCRPIOAS,2015-07-31 07:22:31-05,1998-12-31,2015-07-30
BAMLEMHBHYCRPISYTW,2015-07-31 07:22:30-05,1998-12-31,2015-07-30
BAMLEMHBHYCRPITRIV,2015-07-31 07:22:30-05,1998-12-31,2015-07-30
BAMLEMHGHGLCRPIUSEY,2015-07-31 07:22:29-05,2003-12-31,2015-07-30
BAMLEMHGHGLCRPIUSOAS,2015-07-31 07:22:29-05,2003-12-31,2015-07-30
BAMLEMHGHGLCRPIUSSYTW,2015-07-31 07:22:28-05,2003-12-31,2015-07-30
BAMLEMHGHGLCRPIUSTRIV,2015-07-31 07:22:28-05,2003-12-31,2015-07-30
BAMLEMHYHYLCRPIUSEY,2015-07-31 07:22:27-05,2003-12-31,2015-07-30
BAMLEMHYHYLCRPIUSOAS,2015-07-31 07:22:27-05,2003-12-31,2015-07-30
BAMLEMHYHYLCRPIUSSYTW,2015-07-31 07:22:26-05,2003-12-31,2015-07-30
BAMLEMHYHYLCRPIUSTRIV,2015-07-31 07:22:25-05,2003-12-31,2015-07-30
BAMLEMIBHGCRPIEY,2015-07-31 07:22:25-05,1998-12-31,2015-07-30
BAMLEMIBHGCRPIOAS,2015-07-31 07:22:24-05,1998-12-31,2015-07-30
BAMLEMIBHGCRPISYTW,2015-07-31 07:22:24-05,1998-12-31,2015-07-30
BAMLEMIBHGCRPITRIV,2015-07-31 07:22:23-05,1998-12-31,2015-07-30
BAMLEMLLLCRPILAUSEY,2015-07-31 07:22:22-05,2003-12-31,2015-07-30
BAMLEMLLLCRPILAUSOAS,2015-07-31 07:22:22-05,2003-12-31,2015-07-30
BAMLEMLLLCRPILAUSSYTW,2015-07-31 07:22:22-05,2003-12-31,2015-07-30
BAMLEMLLLCRPILAUSTRIV,2015-07-31 07:22:21-05,2003-12-31,2015-07-30
BAMLEMNFNFLCRPIUSEY,2015-07-31 07:22:21-05,2003-12-31,2015-07-30
BAMLEMNFNFLCRPIUSOAS,2015-07-31 07:22:20-05,2003-12-31,2015-07-30
BAMLEMNFNFLCRPIUSSYTW,2015-07-31 07:22:20-05,2003-12-31,2015-07-30
BAMLEMNFNFLCRPIUSTRIV,2015-07-31 07:22:19-05,2003-12-31,2015-07-30
BAMLEMNSNFCRPIEY,2015-07-31 07:22:19-05,1998-12-31,2015-07-30
BAMLEMNSNFCRPIOAS,2015-07-31 07:22:18-05,1998-12-31,2015-07-30
BAMLEMNSNFCRPISYTW,2015-07-31 07:22:18-05,1998-12-31,2015-07-30
BAMLEMNSNFCRPITRIV,2015-07-31 07:22:17-05,1998-12-31,2015-07-30
BAMLEMPBPUBSICRPIEY,2015-07-31 07:22:16-05,1998-12-31,2015-07-30
BAMLEMPBPUBSICRPIOAS,2015-07-31 07:22:16-05,1998-12-31,2015-07-30
BAMLEMPBPUBSICRPISYTW,2015-07-31 07:22:15-05,1998-12-31,2015-07-30
BAMLEMPBPUBSICRPITRIV,2015-07-31 07:22:14-05,1998-12-31,2015-07-30
BAMLEMPTPRVICRPIEY,2015-07-31 07:22:14-05,1998-12-31,2015-07-30
BAMLEMPTPRVICRPIOAS,2015-07-31 07:22:13-05,1998-12-31,2015-07-30
BAMLEMPTPRVICRPISYTW,2015-07-31 07:22:13-05,1998-12-31,2015-07-30
BAMLEMPTPRVICRPITRIV,2015-07-31 07:22:12-05,1998-12-31,2015-07-30
BAMLEMPUPUBSLCRPIUSEY,2015-07-31 07:22:11-05,2003-12-31,2015-07-30
BAMLEMPUPUBSLCRPIUSOAS,2015-07-31 07:22:11-05,2003-12-31,2015-07-30
BAMLEMPUPUBSLCRPIUSSYTW,2015-07-31 07:22:10-05,2003-12-31,2015-07-30
BAMLEMPUPUBSLCRPIUSTRIV,2015-07-31 07:22:10-05,2003-12-31,2015-07-30
BAMLEMPVPRIVSLCRPIUSEY,2015-07-31 07:22:10-05,2003-12-31,2015-07-30
BAMLEMPVPRIVSLCRPIUSOAS,2015-07-31 07:22:09-05,2003-12-31,2015-07-30
BAMLEMPVPRIVSLCRPIUSSYTW,2015-07-31 07:22:09-05,2003-12-31,2015-07-30
BAMLEMPVPRIVSLCRPIUSTRIV,2015-07-31 07:22:08-05,2003-12-31,2015-07-30
BAMLEMRACRPIASIAEY,2015-07-31 07:22:08-05,1998-12-31,2015-07-30
