Date,Values,Delta Calculations,Delta - Mean(0.000530973451327)
1991-09-25,0.2, , 
1991-09-26,0.2,0.0,-0.000530973451327
1991-09-27,0.2,0.0,-0.000530973451327
1991-09-30,0.21,0.009999999999999981,0.00946902654867298
1991-10-01,0.21,0.0,-0.000530973451327
1991-10-02,0.21,0.0,-0.000530973451327
1991-10-03,0.21,0.0,-0.000530973451327
1991-10-04,0.22,0.010000000000000009,0.009469026548673008
1991-10-07,0.23,0.010000000000000009,0.009469026548673008
1991-10-08,0.23,0.0,-0.000530973451327
1991-10-09,0.23,0.0,-0.000530973451327
1991-10-10,0.24,0.009999999999999981,0.00946902654867298
1991-10-11,0.24,0.0,-0.000530973451327
1991-10-15,0.26,0.020000000000000018,0.019469026548673017
1991-10-16,0.26,0.0,-0.000530973451327
1991-10-17,0.27,0.010000000000000009,0.009469026548673008
1991-10-18,0.28,0.010000000000000009,0.009469026548673008
1991-10-21,0.3,0.019999999999999962,0.01946902654867296
1991-10-22,0.3,0.0,-0.000530973451327
1991-10-24,0.31,0.010000000000000009,0.009469026548673008
1991-10-25,0.31,0.0,-0.000530973451327
1991-10-28,0.33,0.020000000000000018,0.019469026548673017
1991-10-29,0.34,0.010000000000000009,0.009469026548673008
1991-10-30,0.34,0.0,-0.000530973451327
1991-10-31,0.35,0.009999999999999953,0.009469026548672953
1991-11-01,0.37,0.020000000000000018,0.019469026548673017
1991-11-04,0.39,0.020000000000000018,0.019469026548673017
1991-11-05,0.4,0.010000000000000009,0.009469026548673008
1991-11-06,0.42,0.019999999999999962,0.01946902654867296
1991-11-07,0.44,0.020000000000000018,0.019469026548673017
1991-11-08,0.46,0.020000000000000018,0.019469026548673017
1991-11-12,0.51,0.04999999999999999,0.04946902654867299
1991-11-13,0.52,0.010000000000000009,0.009469026548673008
1991-11-14,0.55,0.030000000000000027,0.029469026548673026
1991-11-15,0.58,0.029999999999999916,0.029469026548672915
1991-11-18,0.66,0.08000000000000007,0.07946902654867308
1991-11-19,0.68,0.020000000000000018,0.019469026548673017
1991-11-20,0.71,0.029999999999999916,0.029469026548672915
1991-11-21,0.73,0.020000000000000018,0.019469026548673017
1991-11-22,0.78,0.050000000000000044,0.049469026548673044
1991-11-25,0.88,0.09999999999999998,0.09946902654867298
1991-11-26,0.89,0.010000000000000009,0.009469026548673008
1991-11-27,0.91,0.020000000000000018,0.019469026548673017
1991-11-29,0.97,0.05999999999999994,0.05946902654867294
1991-12-02,1.03,0.06000000000000005,0.05946902654867305
1991-12-03,1.04,0.010000000000000009,0.009469026548673008
1991-12-04,1.04,0.0,-0.000530973451327
1991-12-05,1.06,0.020000000000000018,0.019469026548673017
1991-12-06,1.08,0.020000000000000018,0.019469026548673017
1991-12-09,1.1,0.020000000000000018,0.019469026548673017
1991-12-10,1.11,0.010000000000000009,0.009469026548673008
1991-12-11,1.12,0.010000000000000009,0.009469026548673008
1991-12-12,1.13,0.009999999999999787,0.009469026548672786
1991-12-13,1.14,0.010000000000000009,0.009469026548673008
1991-12-16,1.18,0.040000000000000036,0.039469026548673035
1991-12-17,1.19,0.010000000000000009,0.009469026548673008
1991-12-18,1.2,0.010000000000000009,0.009469026548673008
1991-12-19,1.22,0.020000000000000018,0.019469026548673017
1991-12-20,1.24,0.020000000000000018,0.019469026548673017
1991-12-23,1.29,0.050000000000000044,0.049469026548673044
1991-12-24,1.3,0.010000000000000009,0.009469026548673008
1991-12-27,1.33,0.030000000000000027,0.029469026548673026
1991-12-30,1.39,0.05999999999999983,0.05946902654867283
1991-12-31,1.4,0.010000000000000009,0.009469026548673008
1992-01-02,1.42,0.020000000000000018,0.019469026548673017
1992-01-03,1.44,0.020000000000000018,0.019469026548673017
1992-01-06,1.45,0.010000000000000009,0.009469026548673008
1992-01-07,1.45,0.0,-0.000530973451327
1992-01-08,1.46,0.010000000000000009,0.009469026548673008
1992-01-09,1.46,0.0,-0.000530973451327
1992-01-10,1.47,0.010000000000000009,0.009469026548673008
1992-01-13,1.49,0.020000000000000018,0.019469026548673017
1992-01-14,1.49,0.0,-0.000530973451327
1992-01-15,1.49,0.0,-0.000530973451327
1992-01-16,1.5,0.010000000000000009,0.009469026548673008
1992-01-17,1.51,0.010000000000000009,0.009469026548673008
1992-01-21,1.52,0.010000000000000009,0.009469026548673008
1992-01-22,1.53,0.010000000000000009,0.009469026548673008
1992-01-23,1.53,0.0,-0.000530973451327
1992-01-24,1.54,0.010000000000000009,0.009469026548673008
1992-01-27,1.55,0.010000000000000009,0.009469026548673008
1992-01-28,1.54,-0.010000000000000009,-0.01053097345132701
1992-01-29,1.55,0.010000000000000009,0.009469026548673008
1992-01-30,1.55,0.0,-0.000530973451327
1992-01-31,1.55,0.0,-0.000530973451327
1992-02-03,1.55,0.0,-0.000530973451327
1992-02-04,1.55,0.0,-0.000530973451327
1992-02-05,1.55,0.0,-0.000530973451327
1992-02-06,1.55,0.0,-0.000530973451327
1992-02-07,1.54,-0.010000000000000009,-0.01053097345132701
1992-02-10,1.54,0.0,-0.000530973451327
1992-02-11,1.54,0.0,-0.000530973451327
1992-02-12,1.54,0.0,-0.000530973451327
1992-02-13,1.55,0.010000000000000009,0.009469026548673008
1992-02-14,1.55,0.0,-0.000530973451327
1992-02-18,1.55,0.0,-0.000530973451327
1992-02-19,1.55,0.0,-0.000530973451327
1992-02-20,1.55,0.0,-0.000530973451327
1992-02-21,1.55,0.0,-0.000530973451327
1992-02-24,1.54,-0.010000000000000009,-0.01053097345132701
1992-02-25,1.54,0.0,-0.000530973451327
