Date,Values,Delta Calculations,Delta - Mean(0.297604086353)
2005-09-08,715.31,-2.5200000000000955,-2.8176040863530956
2005-09-09,718.84,3.5300000000000864,3.2323959136470863
2005-09-12,719.65,0.8099999999999454,0.5123959136469454
2005-09-13,714.73,-4.919999999999959,-5.217604086352959
2005-09-14,709.38,-5.350000000000023,-5.647604086353023
2005-09-15,709.5,0.12000000000000455,-0.17760408635299546
2005-09-16,713.42,3.919999999999959,3.622395913646959
2005-09-19,708.41,-5.009999999999991,-5.307604086352991
2005-09-20,703.03,-5.3799999999999955,-5.6776040863529955
2005-09-21,696.55,-6.480000000000018,-6.777604086353018
2005-09-22,700.46,3.910000000000082,3.612395913647082
2005-09-23,701.71,1.25,0.9523959136469999
2005-09-26,699.99,-1.7200000000000273,-2.0176040863530273
2005-09-27,700.51,0.5199999999999818,0.2223959136469818
2005-09-28,700.43,-0.08000000000004093,-0.37760408635304094
2005-09-29,706.65,6.220000000000027,5.922395913647027
2005-09-30,709.31,2.659999999999968,2.362395913646968
2005-10-03,707.82,-1.4899999999998954,-1.7876040863528955
2005-10-04,703.21,-4.610000000000014,-4.907604086353014
2005-10-05,694.64,-8.57000000000005,-8.86760408635305
2005-10-06,693.02,-1.6200000000000045,-1.9176040863530046
2005-10-07,694.63,1.6100000000000136,1.3123959136470136
2005-10-10,691.99,-2.6399999999999864,-2.9376040863529864
2005-10-11,690.05,-1.9400000000000546,-2.2376040863530546
2005-10-12,687.27,-2.7799999999999727,-3.077604086352973
2005-10-13,689.94,2.6700000000000728,2.3723959136470727
2005-10-14,695.03,5.089999999999918,4.792395913646918
2005-10-17,695.89,0.8600000000000136,0.5623959136470136
2005-10-18,692.64,-3.25,-3.547604086353
2005-10-19,704.44,11.800000000000068,11.502395913647069
2005-10-20,696.51,-7.930000000000064,-8.227604086353063
2005-10-21,696.84,0.3300000000000409,0.03239591364704092
2005-10-24,706.21,9.370000000000005,9.072395913647005
2005-10-25,702.47,-3.740000000000009,-4.037604086353009
2005-10-26,698.82,-3.6499999999999773,-3.9476040863529773
2005-10-27,691.45,-7.3700000000000045,-7.667604086353005
2005-10-28,701.97,10.519999999999982,10.222395913646983
2005-10-31,707.83,5.860000000000014,5.562395913647014
2005-11-01,703.22,-4.610000000000014,-4.907604086353014
2005-11-02,709.22,6.0,5.702395913647
2005-11-03,713.91,4.689999999999941,4.392395913646941
2005-11-04,716.09,2.1800000000000637,1.8823959136470636
2005-11-07,719.1,3.009999999999991,2.712395913646991
2005-11-08,716.33,-2.769999999999982,-3.067604086352982
