Date,Values,Delta Calculations,Delta - Mean(-0.000226879861711)
1997-01-07,3.82, , 
1997-01-08,3.8,-0.020000000000000018,-0.019773120138289017
1997-01-09,3.61,-0.18999999999999995,-0.18977312013828895
1997-01-10,3.92,0.31000000000000005,0.31022687986171105
1997-01-13,4.0,0.08000000000000007,0.08022687986171106
1997-01-14,4.01,0.009999999999999787,0.010226879861710787
1997-01-15,4.34,0.33000000000000007,0.33022687986171106
1997-01-16,4.71,0.3700000000000001,0.3702268798617111
1997-01-17,3.91,-0.7999999999999998,-0.7997731201382888
1997-01-20,3.26,-0.6500000000000004,-0.6497731201382894
1997-01-21,2.99,-0.2699999999999996,-0.2697731201382886
1997-01-22,3.05,0.05999999999999961,0.06022687986171061
1997-01-23,2.96,-0.08999999999999986,-0.08977312013828886
1997-01-24,2.62,-0.33999999999999986,-0.33977312013828886
1997-01-27,2.98,0.3599999999999999,0.36022687986171087
1997-01-28,3.05,0.06999999999999984,0.07022687986171083
1997-01-29,2.91,-0.13999999999999968,-0.1397731201382887
1997-01-30,2.86,-0.050000000000000266,-0.049773120138289266
1997-01-31,2.77,-0.08999999999999986,-0.08977312013828886
1997-02-03,2.49,-0.2799999999999998,-0.2797731201382888
1997-02-04,2.59,0.09999999999999964,0.10022687986171064
1997-02-05,2.65,0.06000000000000005,0.060226879861711054
1997-02-06,2.51,-0.14000000000000012,-0.13977312013828913
1997-02-07,2.39,-0.11999999999999966,-0.11977312013828867
1997-02-10,2.42,0.029999999999999805,0.030226879861710805
1997-02-11,2.34,-0.08000000000000007,-0.07977312013828908
1997-02-12,2.42,0.08000000000000007,0.08022687986171106
1997-02-13,2.22,-0.19999999999999973,-0.19977312013828874
1997-02-14,2.12,-0.10000000000000009,-0.0997731201382891
1997-02-18,1.84,-0.28,-0.27977312013828903
1997-02-19,1.95,0.10999999999999988,0.11022687986171087
1997-02-20,1.92,-0.030000000000000027,-0.029773120138289026
1997-02-21,1.92,0.0,0.000226879861711
1997-02-24,1.92,0.0,0.000226879861711
1997-02-25,1.77,-0.1499999999999999,-0.14977312013828892
1997-02-26,1.81,0.040000000000000036,0.040226879861711036
1997-02-27,1.8,-0.010000000000000009,-0.009773120138289008
1997-02-28,1.78,-0.020000000000000018,-0.019773120138289017
1997-03-03,1.8,0.020000000000000018,0.020226879861711018
1997-03-04,1.87,0.07000000000000006,0.07022687986171106
1997-03-05,1.92,0.04999999999999982,0.05022687986171082
1997-03-06,1.82,-0.09999999999999987,-0.09977312013828887
1997-03-07,1.89,0.06999999999999984,0.07022687986171083
1997-03-10,1.95,0.06000000000000005,0.060226879861711054
1997-03-11,1.92,-0.030000000000000027,-0.029773120138289026
1997-03-12,1.96,0.040000000000000036,0.040226879861711036
1997-03-13,1.98,0.020000000000000018,0.020226879861711018
1997-03-14,1.97,-0.010000000000000009,-0.009773120138289008
1997-03-17,2.01,0.039999999999999813,0.040226879861710814
1997-03-18,1.91,-0.09999999999999987,-0.09977312013828887
1997-03-19,1.88,-0.030000000000000027,-0.029773120138289026
1997-03-20,1.88,0.0,0.000226879861711
1997-03-21,1.87,-0.009999999999999787,-0.009773120138288786
1997-03-24,1.8,-0.07000000000000006,-0.06977312013828907
1997-03-25,1.85,0.050000000000000044,0.050226879861711045
1997-03-26,1.85,0.0,0.000226879861711
1997-03-27,1.84,-0.010000000000000009,-0.009773120138289008
1997-03-31,1.84,0.0,0.000226879861711
1997-04-01,1.95,0.10999999999999988,0.11022687986171087
1997-04-02,1.85,-0.09999999999999987,-0.09977312013828887
1997-04-03,1.87,0.020000000000000018,0.020226879861711018
1997-04-04,1.91,0.039999999999999813,0.040226879861710814
1997-04-07,1.99,0.08000000000000007,0.08022687986171106
1997-04-08,2.01,0.019999999999999796,0.020226879861710796
1997-04-09,1.96,-0.04999999999999982,-0.04977312013828882
1997-04-10,1.97,0.010000000000000009,0.01022687986171101
1997-04-11,1.98,0.010000000000000009,0.01022687986171101
1997-04-14,2.0,0.020000000000000018,0.020226879861711018
1997-04-15,2.0,0.0,0.000226879861711
1997-04-16,2.02,0.020000000000000018,0.020226879861711018
1997-04-17,2.08,0.06000000000000005,0.060226879861711054
1997-04-18,2.1,0.020000000000000018,0.020226879861711018
1997-04-21,2.09,-0.010000000000000231,-0.00977312013828923
1997-04-22,2.1,0.010000000000000231,0.010226879861711231
1997-04-23,2.22,0.1200000000000001,0.1202268798617111
1997-04-24,2.11,-0.11000000000000032,-0.10977312013828933
1997-04-25,2.16,0.050000000000000266,0.05022687986171127
1997-04-28,2.1,-0.06000000000000005,-0.05977312013828905
1997-04-29,2.09,-0.010000000000000231,-0.00977312013828923
1997-04-30,2.16,0.07000000000000028,0.07022687986171128
1997-05-01,2.19,0.029999999999999805,0.030226879861710805
1997-05-02,2.21,0.020000000000000018,0.020226879861711018
1997-05-05,2.23,0.020000000000000018,0.020226879861711018
1997-05-06,2.25,0.020000000000000018,0.020226879861711018
1997-05-07,2.34,0.08999999999999986,0.09022687986171085
1997-05-08,2.33,-0.009999999999999787,-0.009773120138288786
1997-05-09,2.3,-0.03000000000000025,-0.029773120138289248
1997-05-12,2.27,-0.029999999999999805,-0.029773120138288804
1997-05-13,2.18,-0.08999999999999986,-0.08977312013828886
1997-05-14,2.22,0.040000000000000036,0.040226879861711036
1997-05-15,2.25,0.029999999999999805,0.030226879861710805
1997-05-16,2.19,-0.06000000000000005,-0.05977312013828905
1997-05-19,2.25,0.06000000000000005,0.060226879861711054
1997-05-20,2.22,-0.029999999999999805,-0.029773120138288804
