Date,Values,Delta Calculations,Delta - Mean(8.9e-05)
1996-12-31,0.47, , 
1997-01-02,0.48,0.010000000000000009,0.009911000000000008
1997-01-03,0.48,0.0,-8.9e-05
1997-01-06,0.48,0.0,-8.9e-05
1997-01-07,0.48,0.0,-8.9e-05
1997-01-08,0.47,-0.010000000000000009,-0.01008900000000001
1997-01-09,0.49,0.020000000000000018,0.01991100000000002
1997-01-10,0.6,0.10999999999999999,0.10991099999999998
1997-01-13,0.48,-0.12,-0.120089
1997-01-14,0.47,-0.010000000000000009,-0.01008900000000001
1997-01-15,0.48,0.010000000000000009,0.009911000000000008
1997-01-16,0.48,0.0,-8.9e-05
1997-01-17,0.48,0.0,-8.9e-05
1997-01-20,0.48,0.0,-8.9e-05
1997-01-21,0.48,0.0,-8.9e-05
1997-01-22,0.48,0.0,-8.9e-05
1997-01-23,0.47,-0.010000000000000009,-0.01008900000000001
1997-01-24,0.47,0.0,-8.9e-05
1997-01-27,0.46,-0.009999999999999953,-0.010088999999999954
1997-01-28,0.47,0.009999999999999953,0.009910999999999953
1997-01-29,0.47,0.0,-8.9e-05
1997-01-30,0.47,0.0,-8.9e-05
1997-01-31,0.48,0.010000000000000009,0.009911000000000008
1997-02-03,0.48,0.0,-8.9e-05
1997-02-04,0.48,0.0,-8.9e-05
1997-02-05,0.48,0.0,-8.9e-05
1997-02-06,0.48,0.0,-8.9e-05
1997-02-07,0.48,0.0,-8.9e-05
1997-02-10,0.48,0.0,-8.9e-05
1997-02-11,0.48,0.0,-8.9e-05
1997-02-12,0.48,0.0,-8.9e-05
1997-02-13,0.49,0.010000000000000009,0.009911000000000008
1997-02-14,0.48,-0.010000000000000009,-0.01008900000000001
1997-02-18,0.47,-0.010000000000000009,-0.01008900000000001
1997-02-19,0.47,0.0,-8.9e-05
1997-02-20,0.47,0.0,-8.9e-05
1997-02-21,0.48,0.010000000000000009,0.009911000000000008
1997-02-24,0.47,-0.010000000000000009,-0.01008900000000001
1997-02-25,0.47,0.0,-8.9e-05
1997-02-26,0.47,0.0,-8.9e-05
1997-02-27,0.48,0.010000000000000009,0.009911000000000008
1997-02-28,0.47,-0.010000000000000009,-0.01008900000000001
1997-03-03,0.44,-0.02999999999999997,-0.03008899999999997
1997-03-04,0.43,-0.010000000000000009,-0.01008900000000001
1997-03-05,0.44,0.010000000000000009,0.009911000000000008
1997-03-06,0.45,0.010000000000000009,0.009911000000000008
1997-03-07,0.45,0.0,-8.9e-05
1997-03-10,0.43,-0.020000000000000018,-0.020089000000000017
1997-03-11,0.44,0.010000000000000009,0.009911000000000008
1997-03-12,0.44,0.0,-8.9e-05
1997-03-13,0.44,0.0,-8.9e-05
1997-03-14,0.43,-0.010000000000000009,-0.01008900000000001
1997-03-17,0.43,0.0,-8.9e-05
1997-03-18,0.42,-0.010000000000000009,-0.01008900000000001
