Date,Values,Delta Calculations,Delta - Mean(2.19846098783e-05)
1971-01-04,1.0109, , 
1971-01-05,1.0102,-0.0006999999999999229,-0.000721984609878223
1971-01-06,1.0106,0.00039999999999995595,0.00037801539012165595
1971-01-07,1.0148,0.0041999999999999815,0.004178015390121682
1971-01-08,1.0154,0.000600000000000156,0.0005780153901218559
1971-01-11,1.0159,0.0004999999999999449,0.00047801539012164493
1971-01-12,1.013,-0.0029000000000001247,-0.0029219846098784245
1971-01-13,1.0122,-0.0007999999999999119,-0.000821984609878212
1971-01-14,1.0133,0.001100000000000101,0.0010780153901218008
1971-01-15,1.0135,0.00019999999999997797,0.00017801539012167797
1971-01-18,1.0126,-0.0009000000000001229,-0.000921984609878423
1971-01-19,1.0111,-0.0014999999999998348,-0.0015219846098781349
1971-01-20,1.0115,0.00039999999999995595,0.00037801539012165595
1971-01-21,1.0109,-0.000600000000000156,-0.000621984609878456
1971-01-22,1.0117,0.0008000000000001339,0.0007780153901218339
1971-01-25,1.0111,-0.0005999999999999339,-0.000621984609878234
1971-01-26,1.0107,-0.000400000000000178,-0.000421984609878478
1971-01-27,1.0101,-0.0005999999999999339,-0.000621984609878234
1971-01-28,1.009,-0.0010999999999998789,-0.001121984609878179
1971-01-29,1.008,-0.001000000000000112,-0.001021984609878412
1971-02-01,1.0076,-0.00039999999999995595,-0.00042198460987825595
1971-02-02,1.0087,0.0010999999999998789,0.0010780153901215788
1971-02-03,1.0085,-0.00019999999999997797,-0.00022198460987827797
1971-02-04,1.0078,-0.0006999999999999229,-0.000721984609878223
1971-02-05,1.0078,0.0,-2.19846098783e-05
1971-02-08,1.0083,0.0004999999999999449,0.00047801539012164493
1971-02-09,1.0083,0.0,-2.19846098783e-05
1971-02-10,1.0086,0.00029999999999996696,0.00027801539012166696
1971-02-11,1.0086,0.0,-2.19846098783e-05
1971-02-16,1.0084,-0.00019999999999997797,-0.00022198460987827797
1971-02-17,1.0087,0.00029999999999996696,0.00027801539012166696
1971-02-18,1.0076,-0.0010999999999998789,-0.001121984609878179
1971-02-19,1.0066,-0.001000000000000112,-0.001021984609878412
1971-02-22,1.0043,-0.0022999999999999687,-0.0023219846098782686
1971-02-23,1.0035,-0.0007999999999999119,-0.000821984609878212
1971-02-24,1.0075,0.0040000000000000036,0.003978015390121704
1971-02-25,1.0066,-0.0009000000000001229,-0.000921984609878423
1971-02-26,1.007,0.000400000000000178,0.000378015390121878
1971-03-01,1.0076,0.0005999999999999339,0.0005780153901216339
1971-03-02,1.0071,-0.0004999999999999449,-0.000521984609878245
1971-03-03,1.0073,0.00019999999999997797,0.00017801539012167797
1971-03-04,1.0064,-0.0009000000000001229,-0.000921984609878423
1971-03-05,1.0047,-0.0017000000000000348,-0.0017219846098783349
1971-03-08,1.003,-0.0017000000000000348,-0.0017219846098783349
1971-03-09,1.004,0.001000000000000112,0.0009780153901218119
1971-03-10,1.0036,-0.00039999999999995595,-0.00042198460987825595
1971-03-11,1.0049,0.0012999999999998568,0.0012780153901215568
1971-03-12,1.0056,0.000700000000000145,0.0006780153901218449
1971-03-15,1.0059,0.00029999999999996696,0.00027801539012166696
1971-03-16,1.0052,-0.0006999999999999229,-0.000721984609878223
1971-03-17,1.0056,0.00039999999999995595,0.00037801539012165595
1971-03-18,1.0065,0.0008999999999999009,0.0008780153901216008
1971-03-19,1.0077,0.0012000000000000899,0.0011780153901217898
1971-03-22,1.0079,0.00019999999999997797,0.00017801539012167797
1971-03-23,1.0078,-9.999999999998899e-05,-0.00012198460987828899
1971-03-24,1.0076,-0.00019999999999997797,-0.00022198460987827797
1971-03-25,1.007,-0.0005999999999999339,-0.000621984609878234
1971-03-26,1.0074,0.00039999999999995595,0.00037801539012165595
1971-03-29,1.0075,9.999999999998899e-05,7.801539012168899e-05
1971-03-30,1.0082,0.0006999999999999229,0.0006780153901216229
1971-03-31,1.0081,-9.999999999998899e-05,-0.00012198460987828899
1971-04-01,1.0076,-0.0004999999999999449,-0.000521984609878245
1971-04-02,1.0073,-0.00029999999999996696,-0.00032198460987826696
1971-04-05,1.0071,-0.00019999999999997797,-0.00022198460987827797
1971-04-06,1.0062,-0.0009000000000001229,-0.000921984609878423
1971-04-07,1.0069,0.0006999999999999229,0.0006780153901216229
1971-04-08,1.0071,0.00020000000000020002,0.00017801539012190002
1971-04-09,1.0068,-0.000300000000000189,-0.000321984609878489
1971-04-12,1.0069,9.999999999998899e-05,7.801539012168899e-05
1971-04-13,1.0076,0.000700000000000145,0.0006780153901218449
1971-04-14,1.0081,0.0004999999999999449,0.00047801539012164493
1971-04-15,1.0075,-0.0005999999999999339,-0.000621984609878234
1971-04-16,1.0068,-0.000700000000000145,-0.000721984609878445
1971-04-19,1.0073,0.000500000000000167,0.000478015390121867
1971-04-20,1.0075,0.00019999999999997797,0.00017801539012167797
1971-04-21,1.0073,-0.00019999999999997797,-0.00022198460987827797
1971-04-22,1.0076,0.00029999999999996696,0.00027801539012166696
1971-04-23,1.0085,0.0008999999999999009,0.0008780153901216008
1971-04-26,1.0092,0.000700000000000145,0.0006780153901218449
1971-04-27,1.0095,0.00029999999999996696,0.00027801539012166696
1971-04-28,1.0089,-0.000600000000000156,-0.000621984609878456
1971-04-29,1.0086,-0.00029999999999996696,-0.00032198460987826696
