Date,Values,Delta Calculations,Delta - Mean(-4.77383936031e-06)
1982-07-21,2.41,-0.009999999999999787,-0.009995226160639477
1982-07-22,2.68,0.27,0.27000477383936033
1982-07-23,2.83,0.1499999999999999,0.15000477383936023
1982-07-26,3.04,0.20999999999999996,0.21000477383936028
1982-07-27,2.74,-0.2999999999999998,-0.2999952261606395
1982-07-28,2.56,-0.18000000000000016,-0.17999522616063984
1982-07-29,2.86,0.2999999999999998,0.30000477383936014
1982-07-30,3.11,0.25,0.2500047738393603
1982-08-02,3.69,0.5800000000000001,0.5800047738393603
1982-08-03,3.33,-0.3599999999999999,-0.35999522616063956
1982-08-04,3.56,0.22999999999999998,0.2300047738393603
1982-08-05,3.51,-0.050000000000000266,-0.049995226160639956
1982-08-06,3.14,-0.36999999999999966,-0.36999522616063935
1982-08-09,3.45,0.31000000000000005,0.31000477383936037
1982-08-10,3.27,-0.18000000000000016,-0.17999522616063984
1982-08-11,3.34,0.06999999999999984,0.07000477383936014
1982-08-12,3.81,0.4700000000000002,0.4700047738393605
1982-08-13,3.6,-0.20999999999999996,-0.20999522616063965
1982-08-16,4.11,0.5100000000000002,0.5100047738393605
1982-08-17,4.32,0.20999999999999996,0.21000477383936028
1982-08-18,4.22,-0.10000000000000053,-0.09999522616064023
1982-08-19,4.71,0.4900000000000002,0.49000477383936053
1982-08-20,4.93,0.21999999999999975,0.22000477383936007
1982-08-23,4.72,-0.20999999999999996,-0.20999522616063965
1982-08-24,4.49,-0.22999999999999954,-0.22999522616063922
1982-08-25,4.76,0.2699999999999996,0.2700047738393599
1982-08-26,5.18,0.41999999999999993,0.42000477383936025
1982-08-27,4.67,-0.5099999999999998,-0.5099952261606395
1982-08-30,4.37,-0.2999999999999998,-0.2999952261606395
1982-08-31,4.09,-0.28000000000000025,-0.27999522616063993
1982-09-01,4.03,-0.05999999999999961,-0.0599952261606393
1982-09-02,3.94,-0.0900000000000003,-0.08999522616064
1982-09-03,4.01,0.06999999999999984,0.07000477383936014
1982-09-07,3.85,-0.1599999999999997,-0.15999522616063938
1982-09-08,3.91,0.06000000000000005,0.06000477383936036
1982-09-09,3.96,0.04999999999999982,0.05000477383936013
1982-09-10,4.07,0.11000000000000032,0.11000477383936062
1982-09-13,4.22,0.14999999999999947,0.15000477383935978
1982-09-14,4.4,0.1800000000000006,0.18000477383936092
1982-09-15,4.16,-0.2400000000000002,-0.2399952261606399
1982-09-16,4.29,0.1299999999999999,0.1300047738393602
1982-09-17,4.28,-0.009999999999999787,-0.009995226160639477
1982-09-20,4.43,0.14999999999999947,0.15000477383935978
1982-09-21,4.3,-0.1299999999999999,-0.12999522616063958
1982-09-22,4.46,0.16000000000000014,0.16000477383936046
1982-09-23,4.42,-0.040000000000000036,-0.039995226160639726
1982-09-24,4.24,-0.17999999999999972,-0.1799952261606394
1982-09-27,4.16,-0.08000000000000007,-0.07999522616063977
1982-09-28,4.13,-0.03000000000000025,-0.02999522616063994
1982-09-29,3.96,-0.16999999999999993,-0.1699952261606396
1982-09-30,3.85,-0.10999999999999988,-0.10999522616063957
1982-10-01,3.91,0.06000000000000005,0.06000477383936036
1982-10-04,3.51,-0.40000000000000036,-0.39999522616064004
1982-10-05,3.25,-0.2599999999999998,-0.25999522616063947
1982-10-06,3.17,-0.08000000000000007,-0.07999522616063977
1982-10-07,2.87,-0.2999999999999998,-0.2999952261606395
1982-10-08,2.83,-0.040000000000000036,-0.039995226160639726
1982-10-12,2.92,0.08999999999999986,0.09000477383936016
1982-10-13,2.72,-0.19999999999999973,-0.19999522616063942
1982-10-14,2.82,0.09999999999999964,0.10000477383935995
1982-10-15,2.95,0.13000000000000034,0.13000477383936065
1982-10-18,2.92,-0.03000000000000025,-0.02999522616063994
1982-10-19,2.83,-0.08999999999999986,-0.08999522616063955
1982-10-20,2.89,0.06000000000000005,0.06000477383936036
1982-10-21,2.88,-0.010000000000000231,-0.009995226160639921
1982-10-22,2.93,0.050000000000000266,0.050004773839360576
1982-10-25,2.99,0.06000000000000005,0.06000477383936036
1982-10-26,2.63,-0.3600000000000003,-0.35999522616064
1982-10-27,2.62,-0.009999999999999787,-0.009995226160639477
1982-10-28,2.6,-0.020000000000000018,-0.019995226160639708
1982-10-29,2.54,-0.06000000000000005,-0.05999522616063974
1982-11-01,2.5,-0.040000000000000036,-0.039995226160639726
1982-11-03,2.4,-0.10000000000000009,-0.09999522616063979
1982-11-04,2.43,0.03000000000000025,0.03000477383936056
1982-11-05,2.44,0.009999999999999787,0.010004773839360097
1982-11-08,2.37,-0.06999999999999984,-0.06999522616063954
1982-11-09,2.23,-0.14000000000000012,-0.1399952261606398
1982-11-10,2.12,-0.10999999999999988,-0.10999522616063957
1982-11-12,2.02,-0.10000000000000009,-0.09999522616063979
1982-11-15,1.85,-0.16999999999999993,-0.1699952261606396
