Date,Values,Delta Calculations,Delta - Mean(0.00266354329342)
1991-09-25,0.37, , 
1991-09-26,0.37,0.0,-0.00266354329342
1991-09-27,0.38,0.010000000000000009,0.007336456706580009
1991-09-30,0.39,0.010000000000000009,0.007336456706580009
1991-10-01,0.4,0.010000000000000009,0.007336456706580009
1991-10-02,0.4,0.0,-0.00266354329342
1991-10-03,0.41,0.009999999999999953,0.007336456706579953
1991-10-04,0.42,0.010000000000000009,0.007336456706580009
1991-10-07,0.44,0.020000000000000018,0.017336456706580017
1991-10-08,0.44,0.0,-0.00266354329342
1991-10-09,0.44,0.0,-0.00266354329342
1991-10-10,0.43,-0.010000000000000009,-0.01266354329342001
1991-10-11,0.43,0.0,-0.00266354329342
1991-10-15,0.41,-0.020000000000000018,-0.02266354329342002
1991-10-16,0.41,0.0,-0.00266354329342
1991-10-17,0.4,-0.009999999999999953,-0.012663543293419954
1991-10-18,0.38,-0.020000000000000018,-0.02266354329342002
1991-10-21,0.36,-0.020000000000000018,-0.02266354329342002
1991-10-22,0.34,-0.019999999999999962,-0.022663543293419963
1991-10-24,0.34,0.0,-0.00266354329342
1991-10-25,0.31,-0.030000000000000027,-0.03266354329342003
1991-10-28,0.27,-0.03999999999999998,-0.04266354329341998
1991-10-29,0.28,0.010000000000000009,0.007336456706580009
1991-10-30,0.29,0.009999999999999953,0.007336456706579953
1991-10-31,0.3,0.010000000000000009,0.007336456706580009
1991-11-01,0.32,0.020000000000000018,0.017336456706580017
1991-11-04,0.34,0.020000000000000018,0.017336456706580017
1991-11-05,0.34,0.0,-0.00266354329342
1991-11-06,0.34,0.0,-0.00266354329342
1991-11-07,0.35,0.009999999999999953,0.007336456706579953
1991-11-08,0.36,0.010000000000000009,0.007336456706580009
1991-11-12,0.37,0.010000000000000009,0.007336456706580009
1991-11-13,0.37,0.0,-0.00266354329342
1991-11-14,0.38,0.010000000000000009,0.007336456706580009
1991-11-15,0.4,0.020000000000000018,0.017336456706580017
1991-11-18,0.41,0.009999999999999953,0.007336456706579953
1991-11-19,0.42,0.010000000000000009,0.007336456706580009
1991-11-20,0.42,0.0,-0.00266354329342
1991-11-21,0.43,0.010000000000000009,0.007336456706580009
1991-11-22,0.44,0.010000000000000009,0.007336456706580009
1991-11-25,0.45,0.010000000000000009,0.007336456706580009
1991-11-26,0.45,0.0,-0.00266354329342
1991-11-27,0.45,0.0,-0.00266354329342
1991-11-29,0.46,0.010000000000000009,0.007336456706580009
1991-12-02,0.47,0.009999999999999953,0.007336456706579953
1991-12-03,0.48,0.010000000000000009,0.007336456706580009
1991-12-04,0.48,0.0,-0.00266354329342
1991-12-05,0.5,0.020000000000000018,0.017336456706580017
1991-12-06,0.5,0.0,-0.00266354329342
1991-12-09,0.52,0.020000000000000018,0.017336456706580017
1991-12-10,0.52,0.0,-0.00266354329342
1991-12-11,0.51,-0.010000000000000009,-0.01266354329342001
1991-12-12,0.51,0.0,-0.00266354329342
1991-12-13,0.51,0.0,-0.00266354329342
1991-12-16,0.49,-0.020000000000000018,-0.02266354329342002
1991-12-17,0.48,-0.010000000000000009,-0.01266354329342001
1991-12-18,0.48,0.0,-0.00266354329342
1991-12-19,0.47,-0.010000000000000009,-0.01266354329342001
1991-12-20,0.47,0.0,-0.00266354329342
1991-12-23,0.47,0.0,-0.00266354329342
1991-12-24,0.47,0.0,-0.00266354329342
1991-12-27,0.48,0.010000000000000009,0.007336456706580009
1991-12-30,0.49,0.010000000000000009,0.007336456706580009
1991-12-31,0.49,0.0,-0.00266354329342
1992-01-02,0.49,0.0,-0.00266354329342
1992-01-03,0.48,-0.010000000000000009,-0.01266354329342001
1992-01-06,0.48,0.0,-0.00266354329342
1992-01-07,0.49,0.010000000000000009,0.007336456706580009
1992-01-08,0.5,0.010000000000000009,0.007336456706580009
1992-01-09,0.5,0.0,-0.00266354329342
1992-01-10,0.5,0.0,-0.00266354329342
1992-01-13,0.49,-0.010000000000000009,-0.01266354329342001
1992-01-14,0.46,-0.02999999999999997,-0.03266354329341997
1992-01-15,0.44,-0.020000000000000018,-0.02266354329342002
1992-01-16,0.42,-0.020000000000000018,-0.02266354329342002
1992-01-17,0.39,-0.02999999999999997,-0.03266354329341997
1992-01-21,0.34,-0.04999999999999999,-0.05266354329341999
1992-01-22,0.35,0.009999999999999953,0.007336456706579953
1992-01-23,0.34,-0.009999999999999953,-0.012663543293419954
1992-01-24,0.35,0.009999999999999953,0.007336456706579953
1992-01-27,0.36,0.010000000000000009,0.007336456706580009
1992-01-28,0.37,0.010000000000000009,0.007336456706580009
1992-01-29,0.36,-0.010000000000000009,-0.01266354329342001
1992-01-30,0.36,0.0,-0.00266354329342
1992-01-31,0.35,-0.010000000000000009,-0.01266354329342001
1992-02-03,0.33,-0.019999999999999962,-0.022663543293419963
1992-02-04,0.33,0.0,-0.00266354329342
1992-02-05,0.33,0.0,-0.00266354329342
1992-02-06,0.34,0.010000000000000009,0.007336456706580009
1992-02-07,0.33,-0.010000000000000009,-0.01266354329342001
1992-02-10,0.34,0.010000000000000009,0.007336456706580009
1992-02-11,0.35,0.009999999999999953,0.007336456706579953
1992-02-12,0.34,-0.009999999999999953,-0.012663543293419954
1992-02-13,0.34,0.0,-0.00266354329342
1992-02-14,0.32,-0.020000000000000018,-0.02266354329342002
1992-02-18,0.28,-0.03999999999999998,-0.04266354329341998
1992-02-19,0.27,-0.010000000000000009,-0.01266354329342001
1992-02-20,0.24,-0.030000000000000027,-0.03266354329342003
1992-02-21,0.21,-0.03,-0.03266354329342
