Date,Values,Delta Calculations,Delta - Mean(0.0425515635396)
2004-03-31,102.95,0.14000000000000057,0.09744843646040058
2004-04-01,103.01,0.060000000000002274,0.017448436460402277
2004-04-02,102.18,-0.8299999999999983,-0.8725515635395983
2004-04-05,101.97,-0.21000000000000796,-0.25255156353960795
2004-04-06,102.22,0.25,0.2074484364604
2004-04-07,102.38,0.1599999999999966,0.1174484364603966
2004-04-08,102.36,-0.01999999999999602,-0.06255156353959601
2004-04-12,102.5,0.14000000000000057,0.09744843646040058
2004-04-13,102.3,-0.20000000000000284,-0.24255156353960283
2004-04-14,102.11,-0.18999999999999773,-0.23255156353959772
2004-04-15,101.74,-0.37000000000000455,-0.41255156353960454
2004-04-16,101.68,-0.05999999999998806,-0.10255156353958805
2004-04-19,101.66,-0.020000000000010232,-0.06255156353961022
2004-04-20,101.47,-0.18999999999999773,-0.23255156353959772
2004-04-21,101.04,-0.4299999999999926,-0.4725515635395926
2004-04-22,100.83,-0.21000000000000796,-0.25255156353960795
2004-04-23,100.73,-0.09999999999999432,-0.1425515635395943
2004-04-26,100.95,0.21999999999999886,0.17744843646039887
2004-04-27,100.94,-0.010000000000005116,-0.05255156353960511
2004-04-28,100.09,-0.8499999999999943,-0.8925515635395943
2004-04-29,99.65,-0.4399999999999977,-0.4825515635395977
2004-04-30,99.5,-0.15000000000000568,-0.19255156353960567
2004-05-03,98.85,-0.6500000000000057,-0.6925515635396057
2004-05-04,98.87,0.020000000000010232,-0.022551563539589765
2004-05-05,98.67,-0.20000000000000284,-0.24255156353960283
2004-05-06,98.06,-0.6099999999999994,-0.6525515635395994
2004-05-07,96.69,-1.3700000000000045,-1.4125515635396046
2004-05-10,96.46,-0.23000000000000398,-0.27255156353960397
2004-05-11,96.08,-0.37999999999999545,-0.42255156353959544
2004-05-12,95.55,-0.5300000000000011,-0.5725515635396011
2004-05-13,95.96,0.4099999999999966,0.3674484364603966
2004-05-14,96.44,0.480000000000004,0.437448436460404
2004-05-17,96.74,0.29999999999999716,0.25744843646039717
2004-05-18,96.92,0.18000000000000682,0.13744843646040683
2004-05-19,97.12,0.20000000000000284,0.15744843646040285
2004-05-20,96.91,-0.21000000000000796,-0.25255156353960795
2004-05-21,96.84,-0.06999999999999318,-0.11255156353959317
2004-05-24,97.02,0.1799999999999926,0.13744843646039262
2004-05-25,97.29,0.27000000000001023,0.22744843646041024
2004-05-26,97.29,0.0,-0.0425515635396
2004-05-27,97.8,0.5099999999999909,0.4674484364603909
2004-05-28,98.19,0.39000000000000057,0.3474484364604006
2004-05-31,98.24,0.04999999999999716,0.007448436460397161
2004-06-01,98.06,-0.1799999999999926,-0.2225515635395926
2004-06-02,98.12,0.060000000000002274,0.017448436460402277
2004-06-03,98.32,0.19999999999998863,0.15744843646038864
2004-06-04,98.27,-0.04999999999999716,-0.09255156353959715
2004-06-07,98.69,0.4200000000000017,0.3774484364604017
2004-06-08,98.82,0.12999999999999545,0.08744843646039546
2004-06-09,98.74,-0.0799999999999983,-0.12255156353959828
2004-06-10,98.66,-0.0799999999999983,-0.12255156353959828
2004-06-11,98.69,0.030000000000001137,-0.01255156353959886
2004-06-14,98.54,-0.14999999999999147,-0.19255156353959146
2004-06-15,99.07,0.5299999999999869,0.48744843646038694
2004-06-16,98.94,-0.12999999999999545,-0.17255156353959544
2004-06-17,99.2,0.2600000000000051,0.21744843646040513
2004-06-18,99.58,0.37999999999999545,0.33744843646039546
2004-06-21,99.61,0.030000000000001137,-0.01255156353959886
2004-06-22,99.7,0.09000000000000341,0.04744843646040341
2004-06-23,99.8,0.09999999999999432,0.05744843646039432
2004-06-24,100.07,0.269999999999996,0.22744843646039603
2004-06-25,100.35,0.28000000000000114,0.23744843646040115
2004-06-28,100.29,-0.05999999999998806,-0.10255156353958805
2004-06-29,100.47,0.1799999999999926,0.13744843646039262
2004-06-30,100.74,0.269999999999996,0.22744843646039603
2004-07-01,100.97,0.23000000000000398,0.187448436460404
2004-07-02,101.37,0.4000000000000057,0.3574484364604057
2004-07-05,101.44,0.06999999999999318,0.02744843646039318
2004-07-06,101.73,0.29000000000000625,0.24744843646040626
2004-07-07,101.68,-0.04999999999999716,-0.09255156353959715
2004-07-08,101.62,-0.060000000000002274,-0.10255156353960226
2004-07-09,101.63,0.009999999999990905,-0.03255156353960909
2004-07-12,101.71,0.0799999999999983,0.0374484364603983
2004-07-13,101.8,0.09000000000000341,0.04744843646040341
2004-07-14,102.02,0.21999999999999886,0.17744843646039887
2004-07-15,102.08,0.060000000000002274,0.017448436460402277
2004-07-16,102.63,0.5499999999999972,0.5074484364603972
2004-07-19,102.86,0.23000000000000398,0.187448436460404
2004-07-20,102.78,-0.0799999999999983,-0.12255156353959828
2004-07-21,102.5,-0.28000000000000114,-0.3225515635396011
2004-07-22,102.71,0.20999999999999375,0.16744843646039376
2004-07-23,102.8,0.09000000000000341,0.04744843646040341
2004-07-26,102.78,-0.01999999999999602,-0.06255156353959601
2004-07-27,102.43,-0.3499999999999943,-0.3925515635395943
2004-07-28,102.42,-0.010000000000005116,-0.05255156353960511
2004-07-29,102.58,0.1599999999999966,0.1174484364603966
2004-07-30,103.0,0.4200000000000017,0.3774484364604017
2004-07-31,103.0,0.0,-0.0425515635396
2004-08-02,103.17,0.1700000000000017,0.12744843646040172
2004-08-03,103.14,-0.030000000000001137,-0.07255156353960113
2004-08-04,103.36,0.21999999999999886,0.17744843646039887
2004-08-05,103.45,0.09000000000000341,0.04744843646040341
2004-08-06,104.29,0.8400000000000034,0.7974484364604034
2004-08-09,104.37,0.0799999999999983,0.0374484364603983
2004-08-10,104.37,0.0,-0.0425515635396
2004-08-11,104.34,-0.030000000000001137,-0.07255156353960113
2004-08-12,104.49,0.14999999999999147,0.10744843646039148
2004-08-13,104.65,0.1600000000000108,0.11744843646041081
2004-08-16,104.54,-0.10999999999999943,-0.15255156353959942
2004-08-17,104.84,0.29999999999999716,0.25744843646039717
2004-08-18,105.05,0.20999999999999375,0.16744843646039376
2004-08-19,105.26,0.21000000000000796,0.16744843646040797
2004-08-20,105.35,0.0899999999999892,0.0474484364603892
2004-08-23,105.35,0.0,-0.0425515635396
2004-08-24,105.37,0.020000000000010232,-0.022551563539589765
2004-08-25,105.64,0.269999999999996,0.22744843646039603
2004-08-26,105.66,0.01999999999999602,-0.022551563539603976
2004-08-27,105.66,0.0,-0.0425515635396
2004-08-30,105.85,0.18999999999999773,0.14744843646039774
2004-08-31,106.24,0.39000000000000057,0.3474484364604006
2004-09-01,106.24,0.0,-0.0425515635396
2004-09-02,106.29,0.05000000000001137,0.0074484364604113715
2004-09-03,106.16,-0.13000000000000966,-0.17255156353960965
2004-09-06,106.23,0.07000000000000739,0.027448436460407392
2004-09-07,106.31,0.0799999999999983,0.0374484364603983
2004-09-08,106.69,0.37999999999999545,0.33744843646039546
2004-09-09,106.96,0.269999999999996,0.22744843646039603
2004-09-10,107.0,0.04000000000000625,-0.0025515635395937444
2004-09-13,106.95,-0.04999999999999716,-0.09255156353959715
2004-09-14,106.97,0.01999999999999602,-0.022551563539603976
2004-09-15,106.94,-0.030000000000001137,-0.07255156353960113
2004-09-16,107.17,0.23000000000000398,0.187448436460404
2004-09-17,107.24,0.06999999999999318,0.02744843646039318
2004-09-20,107.58,0.3400000000000034,0.2974484364604034
2004-09-21,107.79,0.21000000000000796,0.16744843646040797
2004-09-22,107.9,0.10999999999999943,0.06744843646039944
2004-09-23,107.96,0.05999999999998806,0.017448436460388066
2004-09-24,107.88,-0.0799999999999983,-0.12255156353959828
2004-09-27,107.83,-0.04999999999999716,-0.09255156353959715
2004-09-28,107.84,0.010000000000005116,-0.03255156353959488
2004-09-29,107.85,0.009999999999990905,-0.03255156353960909
2004-09-30,107.82,-0.030000000000001137,-0.07255156353960113
2004-10-01,107.79,-0.029999999999986926,-0.07255156353958692
2004-10-04,107.82,0.029999999999986926,-0.012551563539613071
2004-10-05,108.09,0.27000000000001023,0.22744843646041024
2004-10-06,108.04,-0.04999999999999716,-0.09255156353959715
2004-10-07,107.97,-0.07000000000000739,-0.11255156353960738
2004-10-08,108.31,0.3400000000000034,0.2974484364604034
2004-10-11,108.37,0.060000000000002274,0.017448436460402277
2004-10-12,108.49,0.11999999999999034,0.07744843646039035
2004-10-13,108.83,0.3400000000000034,0.2974484364604034
2004-10-14,108.96,0.12999999999999545,0.08744843646039546
2004-10-15,108.94,-0.01999999999999602,-0.06255156353959601
2004-10-18,109.05,0.10999999999999943,0.06744843646039944
2004-10-19,109.11,0.060000000000002274,0.017448436460402277
2004-10-20,109.18,0.07000000000000739,0.027448436460407392
2004-10-21,109.23,0.04999999999999716,0.007448436460397161
2004-10-22,109.3,0.06999999999999318,0.02744843646039318
2004-10-25,109.35,0.04999999999999716,0.007448436460397161
2004-10-26,109.27,-0.0799999999999983,-0.12255156353959828
2004-10-27,109.27,0.0,-0.0425515635396
2004-10-28,109.18,-0.0899999999999892,-0.1325515635395892
2004-10-29,109.37,0.18999999999999773,0.14744843646039774
2004-10-31,109.39,0.01999999999999602,-0.022551563539603976
2004-11-01,109.46,0.06999999999999318,0.02744843646039318
2004-11-02,109.47,0.010000000000005116,-0.03255156353959488
2004-11-03,109.6,0.12999999999999545,0.08744843646039546
2004-11-04,109.8,0.20000000000000284,0.15744843646040285
2004-11-05,109.72,-0.0799999999999983,-0.12255156353959828
2004-11-08,109.94,0.21999999999999886,0.17744843646039887
2004-11-09,109.81,-0.12999999999999545,-0.17255156353959544
2004-11-10,109.88,0.06999999999999318,0.02744843646039318
2004-11-11,109.9,0.020000000000010232,-0.022551563539589765
2004-11-12,110.25,0.3499999999999943,0.3074484364603943
2004-11-15,110.31,0.060000000000002274,0.017448436460402277
2004-11-16,110.43,0.12000000000000455,0.07744843646040456
2004-11-17,110.66,0.22999999999998977,0.18744843646038978
2004-11-18,111.04,0.38000000000000966,0.3374484364604097
2004-11-19,111.09,0.04999999999999716,0.007448436460397161
2004-11-22,111.12,0.030000000000001137,-0.01255156353959886
2004-11-23,111.07,-0.05000000000001137,-0.09255156353961136
2004-11-24,111.35,0.28000000000000114,0.23744843646040115
2004-11-25,111.37,0.020000000000010232,-0.022551563539589765
2004-11-26,111.34,-0.030000000000001137,-0.07255156353960113
2004-11-29,111.17,-0.1700000000000017,-0.2125515635396017
2004-11-30,111.19,0.01999999999999602,-0.022551563539603976
2004-12-01,111.21,0.01999999999999602,-0.022551563539603976
2004-12-02,111.18,-0.029999999999986926,-0.07255156353958692
2004-12-03,111.48,0.29999999999999716,0.25744843646039717
2004-12-06,111.74,0.2599999999999909,0.21744843646039091
2004-12-07,111.76,0.020000000000010232,-0.022551563539589765
2004-12-08,112.12,0.35999999999999943,0.31744843646039944
2004-12-09,112.12,0.0,-0.0425515635396
2004-12-10,112.14,0.01999999999999602,-0.022551563539603976
2004-12-13,112.18,0.04000000000000625,-0.0025515635395937444
2004-12-14,112.32,0.13999999999998636,0.09744843646038637
2004-12-15,112.64,0.3200000000000074,0.2774484364604074
2004-12-16,112.58,-0.060000000000002274,-0.10255156353960226
2004-12-17,112.44,-0.14000000000000057,-0.18255156353960056
2004-12-20,112.54,0.10000000000000853,0.05744843646040853
2004-12-21,112.75,0.20999999999999375,0.16744843646039376
2004-12-22,112.88,0.12999999999999545,0.08744843646039546
2004-12-23,112.88,0.0,-0.0425515635396
2004-12-27,112.77,-0.10999999999999943,-0.15255156353959942
2004-12-28,112.79,0.020000000000010232,-0.022551563539589765
2004-12-29,112.71,-0.0800000000000125,-0.1225515635396125
2004-12-30,113.04,0.3300000000000125,0.2874484364604125
2004-12-31,113.07,0.029999999999986926,-0.012551563539613071
2005-01-03,113.15,0.0800000000000125,0.03744843646041251
2005-01-04,113.02,-0.13000000000000966,-0.17255156353960965
2005-01-05,112.91,-0.10999999999999943,-0.15255156353959942
2005-01-06,112.83,-0.0799999999999983,-0.12255156353959828
2005-01-07,112.77,-0.060000000000002274,-0.10255156353960226
2005-01-10,112.72,-0.04999999999999716,-0.09255156353959715
2005-01-11,112.68,-0.03999999999999204,-0.08255156353959203
2005-01-12,112.72,0.03999999999999204,-0.0025515635396079553
2005-01-13,112.85,0.12999999999999545,0.08744843646039546
2005-01-14,112.77,-0.0799999999999983,-0.12255156353959828
2005-01-17,112.84,0.07000000000000739,0.027448436460407392
2005-01-18,112.69,-0.15000000000000568,-0.19255156353960567
2005-01-19,112.67,-0.01999999999999602,-0.06255156353959601
2005-01-20,112.69,0.01999999999999602,-0.022551563539603976
2005-01-21,112.84,0.15000000000000568,0.1074484364604057
2005-01-24,113.04,0.20000000000000284,0.15744843646040285
2005-01-25,113.02,-0.020000000000010232,-0.06255156353961022
2005-01-26,113.07,0.04999999999999716,0.007448436460397161
2005-01-27,113.14,0.07000000000000739,0.027448436460407392
2005-01-28,113.39,0.25,0.2074484364604
2005-01-31,113.44,0.04999999999999716,0.007448436460397161
2005-02-01,113.5,0.060000000000002274,0.017448436460402277
2005-02-02,113.56,0.060000000000002274,0.017448436460402277
2005-02-03,113.54,-0.01999999999999602,-0.06255156353959601
2005-02-04,113.85,0.30999999999998806,0.2674484364603881
2005-02-07,114.43,0.5800000000000125,0.5374484364604125
2005-02-08,114.64,0.20999999999999375,0.16744843646039376
2005-02-09,115.06,0.4200000000000017,0.3774484364604017
2005-02-10,114.65,-0.4099999999999966,-0.4525515635395966
2005-02-11,114.64,-0.010000000000005116,-0.05255156353960511
2005-02-14,114.66,0.01999999999999602,-0.022551563539603976
2005-02-15,114.68,0.020000000000010232,-0.022551563539589765
2005-02-16,114.53,-0.15000000000000568,-0.19255156353960567
2005-02-17,114.57,0.03999999999999204,-0.0025515635396079553
2005-02-18,114.51,-0.05999999999998806,-0.10255156353958805
2005-02-21,114.58,0.06999999999999318,0.02744843646039318
2005-02-22,114.45,-0.12999999999999545,-0.17255156353959544
2005-02-23,114.4,-0.04999999999999716,-0.09255156353959715
2005-02-24,114.49,0.0899999999999892,0.0474484364603892
2005-02-25,114.67,0.18000000000000682,0.13744843646040683
2005-02-28,114.56,-0.10999999999999943,-0.15255156353959942
2005-03-01,114.64,0.0799999999999983,0.0374484364603983
2005-03-02,114.45,-0.18999999999999773,-0.23255156353959772
2005-03-03,114.64,0.18999999999999773,0.14744843646039774
2005-03-04,115.11,0.46999999999999886,0.4274484364603989
2005-03-07,115.55,0.4399999999999977,0.39744843646039774
2005-03-08,115.42,-0.12999999999999545,-0.17255156353959544
2005-03-09,114.91,-0.5100000000000051,-0.5525515635396051
2005-03-10,114.86,-0.04999999999999716,-0.09255156353959715
2005-03-11,114.4,-0.45999999999999375,-0.5025515635395937
2005-03-14,114.23,-0.1700000000000017,-0.2125515635396017
2005-03-15,113.79,-0.4399999999999977,-0.4825515635395977
2005-03-16,113.49,-0.30000000000001137,-0.34255156353961136
2005-03-17,113.29,-0.19999999999998863,-0.24255156353958862
2005-03-18,113.2,-0.09000000000000341,-0.1325515635396034
2005-03-21,112.86,-0.3400000000000034,-0.3825515635396034
2005-03-22,112.32,-0.5400000000000063,-0.5825515635396062
2005-03-23,111.93,-0.38999999999998636,-0.43255156353958635
2005-03-24,111.6,-0.3300000000000125,-0.3725515635396125
2005-03-28,111.18,-0.4199999999999875,-0.4625515635395875
2005-03-29,110.91,-0.27000000000001023,-0.3125515635396102
2005-03-30,111.1,0.18999999999999773,0.14744843646039774
2005-03-31,111.57,0.46999999999999886,0.4274484364603989
2005-04-01,111.88,0.3100000000000023,0.2674484364604023
2005-04-04,111.85,-0.030000000000001137,-0.07255156353960113
2005-04-05,111.8,-0.04999999999999716,-0.09255156353959715
2005-04-06,112.03,0.23000000000000398,0.187448436460404
2005-04-07,112.02,-0.010000000000005116,-0.05255156353960511
2005-04-08,112.1,0.0799999999999983,0.0374484364603983
2005-04-11,112.26,0.1600000000000108,0.11744843646041081
2005-04-12,112.51,0.25,0.2074484364604
2005-04-13,112.89,0.37999999999999545,0.33744843646039546
2005-04-14,112.88,-0.010000000000005116,-0.05255156353960511
2005-04-15,112.89,0.010000000000005116,-0.03255156353959488
2005-04-18,112.64,-0.25,-0.2925515635396
2005-04-19,112.68,0.04000000000000625,-0.0025515635395937444
2005-04-20,112.71,0.029999999999986926,-0.012551563539613071
2005-04-21,112.51,-0.19999999999998863,-0.24255156353958862
2005-04-22,112.84,0.3299999999999983,0.2874484364603983
2005-04-25,112.95,0.10999999999999943,0.06744843646039944
2005-04-26,113.04,0.09000000000000341,0.04744843646040341
2005-04-27,113.05,0.009999999999990905,-0.03255156353960909
2005-04-28,113.27,0.21999999999999886,0.17744843646039887
2005-04-29,113.08,-0.18999999999999773,-0.23255156353959772
2005-04-30,113.1,0.01999999999999602,-0.022551563539603976
2005-05-02,112.94,-0.1599999999999966,-0.20255156353959658
2005-05-03,112.98,0.04000000000000625,-0.0025515635395937444
2005-05-04,113.38,0.3999999999999915,0.3574484364603915
2005-05-05,113.89,0.5100000000000051,0.4674484364604051
2005-05-06,113.55,-0.3400000000000034,-0.3825515635396034
2005-05-09,113.76,0.21000000000000796,0.16744843646040797
2005-05-10,113.88,0.11999999999999034,0.07744843646039035
2005-05-11,113.67,-0.20999999999999375,-0.25255156353959374
2005-05-12,113.83,0.1599999999999966,0.1174484364603966
2005-05-13,113.86,0.030000000000001137,-0.01255156353959886
2005-05-16,113.93,0.07000000000000739,0.027448436460407392
2005-05-17,113.9,-0.030000000000001137,-0.07255156353960113
2005-05-18,114.14,0.23999999999999488,0.1974484364603949
2005-05-19,114.2,0.060000000000002274,0.017448436460402277
2005-05-20,114.18,-0.01999999999999602,-0.06255156353959601
2005-05-23,114.5,0.3199999999999932,0.2774484364603932
2005-05-24,114.6,0.09999999999999432,0.05744843646039432
2005-05-25,114.52,-0.0799999999999983,-0.12255156353959828
2005-05-26,114.67,0.15000000000000568,0.1074484364604057
2005-05-27,114.89,0.21999999999999886,0.17744843646039887
2005-05-30,114.96,0.06999999999999318,0.02744843646039318
2005-05-31,115.27,0.3100000000000023,0.2674484364604023
2005-06-01,115.7,0.4300000000000068,0.38744843646040683
2005-06-02,115.98,0.28000000000000114,0.23744843646040115
2005-06-03,115.94,-0.04000000000000625,-0.08255156353960624
2005-06-06,115.66,-0.28000000000000114,-0.3225515635396011
2005-06-07,115.86,0.20000000000000284,0.15744843646040285
2005-06-08,115.64,-0.21999999999999886,-0.26255156353959885
2005-06-09,115.44,-0.20000000000000284,-0.24255156353960283
2005-06-10,115.17,-0.269999999999996,-0.312551563539596
2005-06-13,115.17,0.0,-0.0425515635396
2005-06-14,115.02,-0.15000000000000568,-0.19255156353960567
2005-06-15,115.09,0.07000000000000739,0.027448436460407392
2005-06-16,115.26,0.1700000000000017,0.12744843646040172
2005-06-17,115.44,0.1799999999999926,0.13744843646039262
2005-06-20,115.59,0.15000000000000568,0.1074484364604057
2005-06-21,116.01,0.4200000000000017,0.3774484364604017
2005-06-22,116.51,0.5,0.4574484364604
2005-06-23,116.53,0.01999999999999602,-0.022551563539603976
2005-06-24,116.71,0.1799999999999926,0.13744843646039262
2005-06-27,116.67,-0.03999999999999204,-0.08255156353959203
2005-06-28,116.62,-0.04999999999999716,-0.09255156353959715
2005-06-29,116.66,0.03999999999999204,-0.0025515635396079553
2005-06-30,116.88,0.21999999999999886,0.17744843646039887
2005-07-01,116.69,-0.18999999999999773,-0.23255156353959772
2005-07-04,116.76,0.07000000000000739,0.027448436460407392
2005-07-05,116.5,-0.2600000000000051,-0.3025515635396051
2005-07-06,116.6,0.09999999999999432,0.05744843646039432
2005-07-07,116.6,0.0,-0.0425515635396
2005-07-08,116.64,0.04000000000000625,-0.0025515635395937444
2005-07-11,116.84,0.20000000000000284,0.15744843646040285
2005-07-12,116.92,0.0799999999999983,0.0374484364603983
2005-07-13,117.04,0.12000000000000455,0.07744843646040456
2005-07-14,117.17,0.12999999999999545,0.08744843646039546
2005-07-15,117.17,0.0,-0.0425515635396
2005-07-18,117.25,0.0799999999999983,0.0374484364603983
2005-07-19,117.34,0.09000000000000341,0.04744843646040341
2005-07-20,117.52,0.1799999999999926,0.13744843646039262
2005-07-21,117.26,-0.2599999999999909,-0.3025515635395909
2005-07-22,117.35,0.0899999999999892,0.0474484364603892
2005-07-25,117.28,-0.06999999999999318,-0.11255156353959317
2005-07-26,117.11,-0.1700000000000017,-0.2125515635396017
2005-07-27,117.04,-0.06999999999999318,-0.11255156353959317
2005-07-28,117.42,0.37999999999999545,0.33744843646039546
2005-07-29,117.39,-0.030000000000001137,-0.07255156353960113
2005-07-31,117.42,0.030000000000001137,-0.01255156353959886
2005-08-01,117.13,-0.29000000000000625,-0.33255156353960624
2005-08-02,116.94,-0.18999999999999773,-0.23255156353959772
2005-08-03,117.24,0.29999999999999716,0.25744843646039717
2005-08-04,117.32,0.0799999999999983,0.0374484364603983
2005-08-05,117.15,-0.1699999999999875,-0.21255156353958748
2005-08-08,117.04,-0.10999999999999943,-0.15255156353959942
2005-08-09,117.09,0.04999999999999716,0.007448436460397161
2005-08-10,117.13,0.03999999999999204,-0.0025515635396079553
2005-08-11,117.44,0.3100000000000023,0.2674484364604023
2005-08-12,117.69,0.25,0.2074484364604
2005-08-15,117.65,-0.03999999999999204,-0.08255156353959203
2005-08-16,117.92,0.269999999999996,0.22744843646039603
2005-08-17,117.8,-0.12000000000000455,-0.16255156353960454
2005-08-18,118.01,0.21000000000000796,0.16744843646040797
2005-08-19,118.06,0.04999999999999716,0.007448436460397161
